dataset,property,exp_dir_name,best_epoch,number,value,state,batch_size,lr,weight_decay,depth,h1,h2,h3,h4,activation,norm,dropout
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-512-128_actlrelu_nmnone_dp0.0732724_bs192_lr0.000862736_wd0.0001_dep3_h11280_h2512_h3128_h496,33,0,0.0110621508210897,COMPLETE,192,0.0008627358286640176,0.0001,3,1280,512,128,96.0,leakyrelu,none,0.07327236865873835
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-896_actsilu_nmln_dp0.104014_bs256_lr0.000525421_wd0.0005_dep2_h11024_h2896_h3256_h432,83,1,0.0064614070579409,COMPLETE,256,0.0005254210669345883,0.0005,2,1024,896,256,32.0,silu,lay_norm,0.10401360423556216
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-1024-192_actsilu_nmln_dp0.0397431_bs288_lr8.69904e-5_wd0_dep4_h11280_h21024_h3192_h496,108,2,0.0066843908280134,COMPLETE,288,8.699037355645859e-05,0.0,4,1280,1024,192,96.0,silu,lay_norm,0.03974313630683449
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-896_actlrelu_nmnone_dp0.0987591_bs32_lr0.00057532_wd0.0003_dep2_h11280_h2896_h3384_h4256,28,3,0.0133925294503569,COMPLETE,32,0.0005753204123625087,0.0003,2,1280,896,384,256.0,leakyrelu,none,0.09875911927287816
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-640-128_actsilu_nmnone_dp0.107868_bs288_lr0.000179976_wd0.0003_dep3_h11024_h2640_h3128_h4256,81,4,0.0061054062098264,COMPLETE,288,0.00017997562632086168,0.0003,3,1024,640,128,256.0,silu,none,0.10786844838313014
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-1024_actsilu_nmnone_dp0.0601757_bs416_lr0.000732507_wd0.0001_dep2_h11280_h21024_h3192_h4160,19,5,0.0138810398057103,COMPLETE,416,0.0007325068062521802,0.0001,2,1280,1024,192,160.0,silu,none,0.06017566196335394
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1792-640_actgelu_nmln_dp0.0373037_bs160_lr5.5842e-5_wd3e-5_dep2_h11792_h2640_h3384_h496,99,6,0.0060011385940015,COMPLETE,160,5.5842008357279656e-05,3e-05,2,1792,640,384,96.0,gelu,lay_norm,0.03730370207997085
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-1024_actgelu_nmln_dp0.179443_bs32_lr0.000293589_wd0.0003_dep2_h11024_h21024_h3512_h496,157,7,0.0050158146768808,COMPLETE,32,0.0002935887755377983,0.0003,2,1024,1024,512,96.0,gelu,lay_norm,0.17944315159066537
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-512-384_actsilu_nmnone_dp0.0474498_bs480_lr0.000333161_wd1e-5_dep3_h11024_h2512_h3384_h432,80,8,0.005702887661755,COMPLETE,480,0.00033316087233016116,1e-05,3,1024,512,384,32.0,silu,none,0.04744981749936002
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1792-896_actsilu_nmnone_dp0.0354221_bs192_lr0.000467927_wd1e-6_dep2_h11792_h2896_h3320_h4160,39,9,0.0090669756755232,COMPLETE,192,0.00046792657831645605,1e-06,2,1792,896,320,160.0,silu,none,0.03542213588140979
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-512-320_actrelu_nmln_dp0.103666_bs512_lr0.000871083_wd0.0001_dep4_h11280_h2512_h3320_h4256,61,10,0.0121621070429682,COMPLETE,512,0.0008710833180680549,0.0001,4,1280,512,320,256.0,relu,lay_norm,0.10366593047274736
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1792-896-448_actlrelu_nmnone_dp0.108529_bs480_lr0.000459973_wd0.0005_dep4_h11792_h2896_h3448_h4256,10,11,0.0189825352281332,COMPLETE,480,0.00045997284763952845,0.0005,4,1792,896,448,256.0,leakyrelu,none,0.10852892694151534
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-1024-448_actgelu_nmln_dp0.139411_bs96_lr0.000265578_wd0.0003_dep3_h11024_h21024_h3448_h464,126,12,0.0057766172103583,COMPLETE,96,0.00026557826809046675,0.0003,3,1024,1024,448,64.0,gelu,lay_norm,0.13941144101405722
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1536-512-448_actsilu_nmnone_dp0.132328_bs480_lr0.000366241_wd1e-5_dep3_h11536_h2512_h3448_h464,54,13,0.0076117063872516,COMPLETE,480,0.0003662411142786003,1e-05,3,1536,512,448,64.0,silu,none,0.13232817524886226
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-768_actgelu_nmln_dp0.178578_bs32_lr0.000294702_wd1e-6_dep2_h11280_h2768_h3512_h4128,145,14,0.0052886507473886,COMPLETE,32,0.00029470207531976744,1e-06,2,1280,768,512,128.0,gelu,lay_norm,0.17857841275844888
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1536-768_actgelu_nmln_dp0.195081_bs64_lr0.000181369_wd0.0003_dep2_h11536_h2768_h3384_h4192,199,15,0.0048365974798798,COMPLETE,64,0.00018136907328770966,0.0003,2,1536,768,384,192.0,gelu,lay_norm,0.19508084611795573
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1536-768_actgelu_nmln_dp0.192884_bs96_lr0.000192043_wd0.0001_dep2_h11536_h2768_h3320_h4224,92,16,0.0061242547817528,COMPLETE,96,0.0001920431387838783,0.0001,2,1536,768,320,224.0,gelu,lay_norm,0.19288403097309592
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-1024_actrelu_nmln_dp0.112445_bs64_lr0.00011641_wd0.0003_dep2_h11280_h21024_h3384_h4224,34,17,0.0094114262610673,COMPLETE,64,0.00011640975187504168,0.0003,2,1280,1024,384,224.0,relu,lay_norm,0.11244458235186784
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-1024_actlrelu_nmln_dp0.177354_bs64_lr0.000449661_wd0_dep2_h11024_h21024_h3448_h432,87,18,0.0068120202049613,COMPLETE,64,0.0004496605121604024,0.0,2,1024,1024,448,32.0,leakyrelu,lay_norm,0.17735417315886137
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h2048-512_actgelu_nmln_dp0.143391_bs192_lr0.000109419_wd0.0003_dep2_h12048_h2512_h3384_h4192,29,19,0.0120409345254302,COMPLETE,192,0.00010941919150846282,0.0003,2,2048,512,384,192.0,gelu,lay_norm,0.1433911324865858
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-1024_actsilu_nmln_dp0.199448_bs96_lr0.000123867_wd0.0001_dep2_h11024_h21024_h3384_h496,116,20,0.005732690449804,COMPLETE,96,0.00012386657829236377,0.0001,2,1024,1024,384,96.0,silu,lay_norm,0.19944806040014695
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-768_actgelu_nmln_dp0.185972_bs64_lr0.000206263_wd0.0003_dep2_h11280_h2768_h3512_h496,40,21,0.0082919113337993,COMPLETE,64,0.0002062626521486777,0.0003,2,1280,768,512,96.0,gelu,lay_norm,0.18597159206425073
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1536-768-448_actgelu_nmnone_dp0.143466_bs160_lr0.000168651_wd0.0003_dep3_h11536_h2768_h3448_h4224,28,22,0.0086101181805133,COMPLETE,160,0.00016865068070073507,0.0003,3,1536,768,448,224.0,gelu,none,0.1434659155903416
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1536-512_actgelu_nmln_dp0.191506_bs128_lr0.000690267_wd1e-6_dep2_h11536_h2512_h3512_h4128,67,23,0.0073862988501787,COMPLETE,128,0.0006902666871090318,1e-06,2,1536,512,512,128.0,gelu,lay_norm,0.1915061413289014
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-1024_actlrelu_nmln_dp0.185026_bs32_lr0.000290112_wd0.0003_dep2_h11024_h21024_h3448_h4192,84,24,0.0069145704619586,COMPLETE,32,0.00029011151362228214,0.0003,2,1024,1024,448,192.0,leakyrelu,lay_norm,0.18502581437851948
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1536-768-512_actgelu_nmln_dp0.16639_bs32_lr0.000212356_wd1e-6_dep3_h11536_h2768_h3512_h4128,61,25,0.0066953208297491,COMPLETE,32,0.00021235579597641936,1e-06,3,1536,768,512,128.0,gelu,lay_norm,0.16639025747625227
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-896-512_actsilu_nmln_dp0.17789_bs64_lr0.000456627_wd1e-6_dep4_h11024_h2896_h3512_h4128,80,26,0.0073917033150792,COMPLETE,64,0.000456627228486146,1e-06,4,1024,896,512,128.0,silu,lay_norm,0.17789003422441924
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-896_actgelu_nmnone_dp0.156966_bs160_lr0.000425573_wd1e-6_dep2_h11280_h2896_h3512_h496,5,27,0.0250609219074249,COMPLETE,160,0.0004255729091389722,1e-06,2,1280,896,512,96.0,gelu,none,0.156965901907831
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-896_actgelu_nmln_dp0.0802462_bs128_lr0.000337284_wd0.0001_dep2_h11024_h2896_h3448_h4160,61,28,0.0068965507671236,COMPLETE,128,0.00033728419605612124,0.0001,2,1024,896,448,160.0,gelu,lay_norm,0.08024622090187984
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1280-1024-448_actlrelu_nmnone_dp0.182531_bs32_lr0.000344186_wd3e-5_dep3_h11280_h21024_h3448_h4128,41,29,0.0107503300532698,COMPLETE,32,0.0003441863101450776,3e-05,3,1280,1024,448,128.0,leakyrelu,none,0.1825308250393382
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-896_actgelu_nmln_dp0.193077_bs96_lr0.000818976_wd1e-5_dep2_h11024_h2896_h3512_h496,89,30,0.0062959622591733,COMPLETE,96,0.0008189764248246174,1e-05,2,1024,896,512,96.0,gelu,lay_norm,0.1930773761510754
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-640-512_actsilu_nmnone_dp0.00819581_bs512_lr0.000251627_wd1e-5_dep3_h11024_h2640_h3512_h464,117,31,0.0048140566796064,COMPLETE,512,0.00025162707828056766,1e-05,3,1024,640,512,64.0,silu,none,0.008195806766013398
ZINC_SMILES_HRR_2048_F64_5G1NG4,logp,pr_logp_ZincSmilesHRR2048F645G1NG4_h1024-768-512_actsilu_nmln_dp0.00459618_bs480_lr0.000169726_wd1e-5_dep3_h11024_h2768_h3512_h496,96,32,0.0076466375030577,COMPLETE,480,0.00016972643759901462,1e-05,3,1024,768,512,96.0,silu,lay_norm,0.004596182983865795

